,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error,game_winner,favorite,underdog,within_td,correct_predict
0,401013357,2018,1,regular,2018-08-25,UMass,FBS Independents,63.0,Duquesne,NEC,15.0,UMass -21,-21.0,-48.0,27.0,21.0,48.0,-27.0,UMass,27.0,UMass,UMass,Duquesne,Fav Cover by +7,Yes
1,401014972,2018,1,regular,2018-08-25,Rice,Conference USA,31.0,Prairie View,SWAC,28.0,Rice -22.5,-22.5,-3.0,-19.5,22.5,3.0,19.5,Prairie View,19.5,Rice,Rice,Prairie View,Dog Cover by +7,Yes
2,401022510,2018,1,regular,2018-08-25,Colorado State,Mountain West,34.0,Hawai'i,Mountain West,43.0,Colorado State -17,-17.0,9.0,-26.0,17.0,-9.0,26.0,Hawai'i,26.0,Hawai'i,Colorado State,Hawai'i,Dog Cover by +7,No
3,401019470,2018,1,regular,2018-08-30,Connecticut,American Athletic,17.0,UCF,American Athletic,56.0,UCF -22.5,22.5,39.0,-16.5,-22.5,-39.0,16.5,UCF,16.5,UCF,UCF,Connecticut,Fav Cover by +7,Yes
4,401020671,2018,1,regular,2018-08-30,Ball State,Mid-American,42.0,Central Connecticut,NEC,6.0,Ball State -19.5,-19.5,-36.0,16.5,19.5,36.0,-16.5,Ball State,16.5,Ball State,Ball State,Central Connecticut,Fav Cover by +7,Yes
5,401012258,2018,1,regular,2018-08-31,Texas A&M,SEC,59.0,Northwestern State,Southland,7.0,Texas A&M -47,-47.0,-52.0,5.0,47.0,52.0,-5.0,Texas A&M,5.0,Texas A&M,Texas A&M,Northwestern State,Vegas Within 7,Yes
6,401012675,2018,1,regular,2018-08-31,Utah,Pac-12,41.0,Weber State,Big Sky,10.0,Utah -30.5,-30.5,-31.0,0.5,30.5,31.0,-0.5,Utah,0.5,Utah,Utah,Weber State,Vegas Within 7,Yes
7,401012880,2018,1,regular,2018-08-31,Michigan State,Big Ten,38.0,Utah State,Mountain West,31.0,Michigan State -23.5,-23.5,-7.0,-16.5,23.5,7.0,16.5,Utah State,16.5,Michigan State,Michigan State,Utah State,Dog Cover by +7,Yes
8,401013086,2018,1,regular,2018-08-31,Tulane,American Athletic,17.0,Wake Forest,ACC,23.0,Wake Forest -7.5,7.5,6.0,1.5,-7.5,-6.0,-1.5,Tulane,1.5,Wake Forest,Wake Forest,Tulane,Vegas Within 7,Yes
9,401013089,2018,1,regular,2018-08-31,Duke,ACC,34.0,Army,FBS Independents,14.0,Duke -14,-14.0,-20.0,6.0,14.0,20.0,-6.0,Duke,6.0,Duke,Duke,Army,Vegas Within 7,Yes
