,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,covering_team,vegas_error
1585,401207101,2020,1,regular,2020-09-04,Southern Mississippi,Conference USA,21,South Alabama,Sun Belt,32,Southern Mississippi -12.5,-12.5,11,-23.5,12.5,-11,23.5,South Alabama,23.5
891,401238035,2020,1,regular,2020-09-04,UAB,Conference USA,45,Central Arkansas,Southland,35,UAB -21,-21.0,-10,-11.0,21.0,10,11.0,Central Arkansas,11.0
1677,401207098,2020,1,regular,2020-09-05,North Texas,Conference USA,57,Houston Christian,Southland,31,North Texas -23,-23.0,-26,3.0,23.0,26,-3.0,North Texas,3.0
2545,401212484,2020,1,regular,2020-09-05,Texas State,Sun Belt,24,SMU,American Athletic,31,SMU -24.5,24.5,7,17.5,-24.5,-7,-17.5,Texas State,17.5
1674,401235700,2020,1,regular,2020-09-05,Army,FBS Independents,42,Middle Tennessee,Conference USA,0,Army -3.5,-3.5,-42,38.5,3.5,42,-38.5,Army,38.5
303,401237353,2020,1,regular,2020-09-05,Marshall,Conference USA,59,Eastern Kentucky,OVC,0,Marshall -25.5,-25.5,-59,33.5,25.5,59,-33.5,Marshall,33.5
1681,401212553,2020,1,regular,2020-09-06,Memphis,American Athletic,37,Arkansas State,Sun Belt,24,Memphis -18.5,-18.5,-13,-5.5,18.5,13,5.5,Arkansas State,5.5
1684,401239884,2020,1,regular,2020-09-06,UTEP,Conference USA,24,Stephen F. Austin,Southland,14,UTEP -4,-4.0,-10,6.0,4.0,10,-6.0,UTEP,6.0
29,401234576,2020,1,regular,2020-09-08,Navy,American Athletic,3,BYU,FBS Independents,55,BYU -1,1.0,52,-51.0,-1.0,-52,51.0,BYU,51.0
1688,401234559,2020,2,regular,2020-09-11,Miami,ACC,31,UAB,Conference USA,14,Miami -15.5,-15.5,-17,1.5,15.5,17,-1.5,Miami,1.5
2601,401207113,2020,2,regular,2020-09-12,Texas State,Sun Belt,48,UT San Antonio,Conference USA,51,Texas State -6,-6.0,3,-9.0,6.0,-3,9.0,UT San Antonio,9.0
2568,401215298,2020,2,regular,2020-09-12,Georgia Southern,Sun Belt,27,Campbell,Big South,26,Georgia Southern -27.5,-27.5,-1,-26.5,27.5,1,26.5,Campbell,26.5
2565,401234562,2020,2,regular,2020-09-12,Wake Forest,ACC,13,Clemson,ACC,37,Clemson -34.5,34.5,24,10.5,-34.5,-24,-10.5,Wake Forest,10.5
2334,401234563,2020,2,regular,2020-09-12,Florida State,ACC,13,Georgia Tech,ACC,16,Florida State -12.5,-12.5,3,-15.5,12.5,-3,15.5,Georgia Tech,15.5
14,401234565,2020,2,regular,2020-09-12,North Carolina,ACC,31,Syracuse,ACC,6,North Carolina -24,-24.0,-25,1.0,24.0,25,-1.0,North Carolina,1.0
1693,401234574,2020,2,regular,2020-09-12,Notre Dame,FBS Independents,27,Duke,ACC,13,Notre Dame -21.5,-21.5,-14,-7.5,21.5,14,7.5,Duke,7.5
1696,401236038,2020,2,regular,2020-09-12,West Virginia,Big 12,56,Eastern Kentucky,OVC,10,West Virginia -41,-41.0,-46,5.0,41.0,46,-5.0,West Virginia,5.0
2591,401236053,2020,2,regular,2020-09-12,Kansas State,Big 12,31,Arkansas State,Sun Belt,35,Kansas State -14.5,-14.5,4,-18.5,14.5,-4,18.5,Arkansas State,18.5
894,401236054,2020,2,regular,2020-09-12,Oklahoma,Big 12,48,Missouri State,MVFC,0,Oklahoma -50.5,-50.5,-48,-2.5,50.5,48,2.5,Missouri State,2.5
2535,401236081,2020,2,regular,2020-09-12,Appalachian State,Sun Belt,35,Charlotte,Conference USA,20,Appalachian State -16.5,-16.5,-15,-1.5,16.5,15,1.5,Charlotte,1.5
93,401236221,2020,2,regular,2020-09-12,Iowa State,Big 12,14,Louisiana,Sun Belt,31,Iowa State -13.5,-13.5,17,-30.5,13.5,-17,30.5,Louisiana,30.5
1705,401239973,2020,2,regular,2020-09-12,South Alabama,Sun Belt,24,Tulane,American Athletic,27,Tulane -11.5,11.5,3,8.5,-11.5,-3,-8.5,South Alabama,8.5
102,401240039,2020,2,regular,2020-09-12,South Florida,American Athletic,27,The Citadel,Southern,6,South Florida -17.5,-17.5,-21,3.5,17.5,21,-3.5,South Florida,3.5
1700,401240113,2020,2,regular,2020-09-12,Army,FBS Independents,37,Louisiana Monroe,Sun Belt,7,Army -24.5,-24.5,-30,5.5,24.5,30,-5.5,Army,5.5
104,401240233,2020,2,regular,2020-09-12,Pittsburgh,ACC,55,Austin Peay,OVC,0,Pittsburgh -30.5,-30.5,-55,24.5,30.5,55,-24.5,Pittsburgh,24.5
2540,401234564,2020,2,regular,2020-09-13,Louisville,ACC,35,Western Kentucky,Conference USA,21,Louisville -13,-13.0,-14,1.0,13.0,14,-1.0,Louisville,1.0
2162,401236039,2020,2,regular,2020-09-13,Texas Tech,Big 12,35,Houston Christian,Southland,33,Texas Tech -40,-40.0,-2,-38.0,40.0,2,38.0,Houston Christian,38.0
2586,401236222,2020,2,regular,2020-09-13,Texas,Big 12,59,UTEP,Conference USA,3,Texas -45,-45.0,-56,11.0,45.0,56,-11.0,Texas,11.0
99,401236658,2020,2,regular,2020-09-13,Kansas,Big 12,23,Coastal Carolina,Sun Belt,38,Kansas -6,-6.0,15,-21.0,6.0,-15,21.0,Coastal Carolina,21.0
1708,401240126,2020,3,regular,2020-09-18,Coastal Carolina,Sun Belt,43,Campbell,Big South,21,Coastal Carolina -27.5,-27.5,-22,-5.5,27.5,22,5.5,Campbell,5.5
1575,401207106,2020,3,regular,2020-09-19,Southern Mississippi,Conference USA,30,Louisiana Tech,Conference USA,31,Southern Mississippi -7,-7.0,1,-8.0,7.0,-1,8.0,Louisiana Tech,8.0
1752,401207120,2020,3,regular,2020-09-19,North Texas,Conference USA,35,SMU,American Athletic,65,SMU -14.5,14.5,30,-15.5,-14.5,-30,15.5,SMU,15.5
1741,401207124,2020,3,regular,2020-09-19,Western Kentucky,Conference USA,24,Liberty,FBS Independents,30,Western Kentucky -14.5,-14.5,6,-20.5,14.5,-6,20.5,Liberty,20.5
1580,401212522,2020,3,regular,2020-09-19,Tulane,American Athletic,24,Navy,American Athletic,27,Tulane -5.5,-5.5,3,-8.5,5.5,-3,8.5,Navy,8.5
6,401212541,2020,3,regular,2020-09-19,Cincinnati,American Athletic,55,Austin Peay,OVC,20,Cincinnati -39.5,-39.5,-35,-4.5,39.5,35,4.5,Austin Peay,4.5
1732,401215301,2020,3,regular,2020-09-19,Georgia State,Sun Belt,31,Louisiana,Sun Belt,34,Louisiana -17,17.0,3,14.0,-17.0,-3,-14.0,Georgia State,14.0
1757,401215302,2020,3,regular,2020-09-19,Louisiana Monroe,Sun Belt,17,Texas State,Sun Belt,38,Texas State -3,3.0,21,-18.0,-3.0,-21,18.0,Texas State,18.0
19,401234567,2020,3,regular,2020-09-19,Duke,ACC,6,Boston College,ACC,26,Duke -3.5,-3.5,20,-23.5,3.5,-20,23.5,Boston College,23.5
1722,401234568,2020,3,regular,2020-09-19,Georgia Tech,ACC,21,UCF,American Athletic,49,UCF -9.5,9.5,28,-18.5,-9.5,-28,18.5,UCF,18.5
1727,401234569,2020,3,regular,2020-09-19,Louisville,ACC,34,Miami,ACC,47,Miami -2.5,2.5,13,-10.5,-2.5,-13,10.5,Miami,10.5
24,401234571,2020,3,regular,2020-09-19,Pittsburgh,ACC,21,Syracuse,ACC,10,Pittsburgh -21,-21.0,-11,-10.0,21.0,11,10.0,Syracuse,10.0
1717,401236041,2020,3,regular,2020-09-19,Oklahoma State,Big 12,16,Tulsa,American Athletic,7,Oklahoma State -24,-24.0,-9,-15.0,24.0,9,15.0,Tulsa,15.0
1736,401236939,2020,3,regular,2020-09-19,Marshall,Conference USA,17,Appalachian State,Sun Belt,7,Appalachian State -6,6.0,-10,16.0,-6.0,10,-16.0,Marshall,16.0
1709,401237492,2020,3,regular,2020-09-19,Clemson,ACC,49,The Citadel,Southern,0,Clemson -50.5,-50.5,-49,-1.5,50.5,49,1.5,The Citadel,1.5
1744,401240041,2020,3,regular,2020-09-19,UT San Antonio,Conference USA,24,Stephen F. Austin,Southland,10,UT San Antonio -18,-18.0,-14,-4.0,18.0,14,4.0,Stephen F. Austin,4.0
1747,401240640,2020,3,regular,2020-09-19,Middle Tennessee,Conference USA,14,Troy,Sun Belt,47,Troy -2,2.0,33,-31.0,-2.0,-33,31.0,Troy,31.0
1712,401241282,2020,3,regular,2020-09-19,Notre Dame,FBS Independents,52,South Florida,American Athletic,0,Notre Dame -22.5,-22.5,-52,29.5,22.5,52,-29.5,Notre Dame,29.5
300,401234570,2020,3,regular,2020-09-20,NC State,ACC,45,Wake Forest,ACC,42,Wake Forest -2,2.0,-3,5.0,-2.0,3,-5.0,NC State,5.0
2164,401239885,2020,3,regular,2020-09-20,UTEP,Conference USA,17,Abilene Christian,Southland,13,UTEP -8.5,-8.5,-4,-4.5,8.5,4,4.5,Abilene Christian,4.5
440,401207132,2020,4,regular,2020-09-24,South Alabama,Sun Belt,10,UAB,Conference USA,42,UAB -7.5,7.5,32,-24.5,-7.5,-32,24.5,UAB,24.5
1772,401207126,2020,4,regular,2020-09-26,Liberty,FBS Independents,36,Florida International,Conference USA,34,Liberty -9.5,-9.5,-2,-7.5,9.5,2,7.5,Florida International,7.5
326,401207134,2020,4,regular,2020-09-26,UT San Antonio,Conference USA,37,Middle Tennessee,Conference USA,35,UT San Antonio -6,-6.0,-2,-4.0,6.0,2,4.0,Middle Tennessee,4.0
2165,401212485,2020,4,regular,2020-09-26,SMU,American Athletic,50,Stephen F. Austin,Southland,7,SMU -38.5,-38.5,-43,4.5,38.5,43,-4.5,SMU,4.5
2637,401212536,2020,4,regular,2020-09-26,East Carolina,American Athletic,28,UCF,American Athletic,51,UCF -28,28.0,23,5.0,-28.0,-23,-5.0,East Carolina,5.0
465,401215303,2020,4,regular,2020-09-26,Louisiana,Sun Belt,20,Georgia Southern,Sun Belt,18,Louisiana -11.5,-11.5,-2,-9.5,11.5,2,9.5,Georgia Southern,9.5
1775,401232157,2020,4,regular,2020-09-26,Louisiana Tech,Conference USA,66,Houston Christian,Southland,38,Louisiana Tech -23.5,-23.5,-28,4.5,23.5,28,-4.5,Louisiana Tech,4.5
