,id,season,week,season_type,date,home_team,home_conference,home_score,away_team,away_conference,away_score,formatted_spread,home_spread,home_result,home_diff,away_spread,away_result,away_diff,vegas_error,covering_team,game_winner,favorite,underdog,accuracy,correct_predict
2,401022510,2018,1,regular,8/25/2018,Colorado State,Mountain West,34,Hawai'i,Mountain West,43,Colorado State -17,-17,9,-26,17,-9,26,26,Hawai'i,Hawai'i,Colorado State,Hawai'i,Prediction outside 14,No
3,401019470,2018,1,regular,8/30/2018,Connecticut,American Athletic,17,UCF,American Athletic,56,UCF -22.5,22.5,39,-16.5,-22.5,-39,16.5,16.5,UCF,UCF,UCF,Connecticut,Prediction outside 14,Yes
7,401012880,2018,1,regular,8/31/2018,Michigan State,Big Ten,38,Utah State,Mountain West,31,Michigan State -23.5,-23.5,-7,-16.5,23.5,7,16.5,16.5,Utah State,Michigan State,Michigan State,Utah State,Prediction outside 14,Yes
8,401013086,2018,1,regular,8/31/2018,Tulane,American Athletic,17,Wake Forest,ACC,23,Wake Forest -7.5,7.5,6,1.5,-7.5,-6,-1.5,1.5,Tulane,Wake Forest,Wake Forest,Tulane,Prediction within 7,Yes
9,401013089,2018,1,regular,8/31/2018,Duke,ACC,34,Army,FBS Independents,14,Duke -14,-14,-20,6,14,20,-6,6,Duke,Duke,Duke,Army,Prediction within 7,Yes
10,401013342,2018,1,regular,8/31/2018,Purdue,Big Ten,27,Northwestern,Big Ten,31,Purdue -1,-1,4,-5,1,-4,5,5,Northwestern,Northwestern,Purdue,Northwestern,Prediction within 7,No
14,401020673,2018,1,regular,8/31/2018,Western Michigan,Mid-American,42,Syracuse,ACC,55,Syracuse -5,5,13,-8,-5,-13,8,8,Syracuse,Syracuse,Syracuse,Western Michigan,Prediction within 14,Yes
17,401012248,2018,1,regular,9/1/2018,Auburn,SEC,21,Washington,Pac-12,16,Auburn -1,-1,-5,4,1,5,-4,4,Auburn,Auburn,Auburn,Washington,Prediction within 7,Yes
20,401012253,2018,1,regular,9/1/2018,Texas Tech,Big 12,27,Ole Miss,SEC,47,Ole Miss -1.5,1.5,20,-18.5,-1.5,-20,18.5,18.5,Ole Miss,Ole Miss,Ole Miss,Texas Tech,Prediction outside 14,Yes
23,401012256,2018,1,regular,9/1/2018,South Carolina,SEC,49,Coastal Carolina,Sun Belt,15,South Carolina -30.5,-30.5,-34,3.5,30.5,34,-3.5,3.5,South Carolina,South Carolina,South Carolina,Coastal Carolina,Prediction within 7,Yes
24,401012257,2018,1,regular,9/1/2018,Tennessee,SEC,14,West Virginia,Big 12,40,West Virginia -10,10,26,-16,-10,-26,16,16,West Virginia,West Virginia,West Virginia,Tennessee,Prediction outside 14,Yes
25,401012259,2018,1,regular,9/1/2018,Vanderbilt,SEC,35,Middle Tennessee,Conference USA,7,Vanderbilt -3,-3,-28,25,3,28,-25,25,Vanderbilt,Vanderbilt,Vanderbilt,Middle Tennessee,Prediction outside 14,Yes
26,401012678,2018,1,regular,9/1/2018,USC,Pac-12,43,UNLV,Mountain West,21,USC -25,-25,-22,-3,25,22,3,3,UNLV,USC,USC,UNLV,Prediction within 7,Yes
27,401012680,2018,1,regular,9/1/2018,Colorado State,Mountain West,13,Colorado,Pac-12,45,Colorado State -7,-7,32,-39,7,-32,39,39,Colorado,Colorado,Colorado State,Colorado,Prediction outside 14,No
28,401012682,2018,1,regular,9/1/2018,Ohio State,Big Ten,77,Oregon State,Pac-12,31,Ohio State -40,-40,-46,6,40,46,-6,6,Ohio State,Ohio State,Ohio State,Oregon State,Prediction within 7,Yes
29,401012683,2018,1,regular,9/1/2018,Wyoming,Mountain West,19,Washington State,Pac-12,41,Washington State -3,3,22,-19,-3,-22,19,19,Washington State,Washington State,Washington State,Wyoming,Prediction outside 14,Yes
30,401012684,2018,1,regular,9/1/2018,California,Pac-12,24,North Carolina,ACC,17,California -7,-7,-7,0,7,7,0,0,Push,California,California,North Carolina,Prediction within 7,Yes
31,401012804,2018,1,regular,9/1/2018,Illinois,Big Ten,31,Kent State,Mid-American,24,Illinois -18,-18,-7,-11,18,7,11,11,Kent State,Illinois,Illinois,Kent State,Prediction within 14,Yes
32,401012820,2018,1,regular,9/1/2018,Rutgers,Big Ten,35,Texas State,Sun Belt,7,Rutgers -16.5,-16.5,-28,11.5,16.5,28,-11.5,11.5,Rutgers,Rutgers,Rutgers,Texas State,Prediction within 14,Yes
33,401012851,2018,1,regular,9/1/2018,Florida International,Conference USA,28,Indiana,Big Ten,38,Indiana -13,13,10,3,-13,-10,-3,3,Florida International,Indiana,Indiana,Florida International,Prediction within 7,Yes
34,401012862,2018,1,regular,9/1/2018,Iowa,Big Ten,33,Northern Illinois,Mid-American,7,Iowa -9.5,-9.5,-26,16.5,9.5,26,-16.5,16.5,Iowa,Iowa,Iowa,Northern Illinois,Prediction outside 14,Yes
35,401012872,2018,1,regular,9/1/2018,Maryland,Big Ten,34,Texas,Big 12,29,Texas -13,13,-5,18,-13,5,-18,18,Maryland,Maryland,Texas,Maryland,Prediction outside 14,No
36,401012888,2018,1,regular,9/1/2018,Notre Dame,FBS Independents,24,Michigan,Big Ten,17,Michigan -3,3,-7,10,-3,7,-10,10,Notre Dame,Notre Dame,Michigan,Notre Dame,Prediction within 14,No
39,401013065,2018,1,regular,9/1/2018,Oklahoma,Big 12,63,Florida Atlantic,Conference USA,14,Oklahoma -19,-19,-49,30,19,49,-30,30,Oklahoma,Oklahoma,Oklahoma,Florida Atlantic,Prediction outside 14,Yes
41,401013087,2018,1,regular,9/1/2018,Boston College,ACC,55,UMass,FBS Independents,21,Boston College -20.5,-20.5,-34,13.5,20.5,34,-13.5,13.5,Boston College,Boston College,Boston College,UMass,Prediction within 14,Yes
47,401013349,2018,1,regular,9/1/2018,Penn State,Big Ten,45,Appalachian State,Sun Belt,38,Penn State -24.5,-24.5,-7,-17.5,24.5,7,17.5,17.5,Appalachian State,Penn State,Penn State,Appalachian State,Prediction outside 14,Yes
48,401013354,2018,1,regular,9/1/2018,Wisconsin,Big Ten,34,Western Kentucky,Conference USA,3,Wisconsin -36,-36,-31,-5,36,31,5,5,Western Kentucky,Wisconsin,Wisconsin,Western Kentucky,Prediction within 7,Yes
49,401013448,2018,1,regular,9/1/2018,Liberty,FBS Independents,52,Old Dominion,Conference USA,10,Old Dominion -5,5,-42,47,-5,42,-47,47,Liberty,Liberty,Old Dominion,Liberty,Prediction outside 14,No
51,401014974,2018,1,regular,9/1/2018,South Alabama,Sun Belt,26,Louisiana Tech,Conference USA,30,Louisiana Tech -10.5,10.5,4,6.5,-10.5,-4,-6.5,6.5,South Alabama,Louisiana Tech,Louisiana Tech,South Alabama,Prediction within 7,Yes
52,401014975,2018,1,regular,9/1/2018,Miami (OH),Mid-American,28,Marshall,Conference USA,35,Miami (OH) -1.5,-1.5,7,-8.5,1.5,-7,8.5,8.5,Marshall,Marshall,Miami (OH),Marshall,Prediction within 14,No
53,401014976,2018,1,regular,9/1/2018,North Texas,Conference USA,46,SMU,American Athletic,23,North Texas -3.5,-3.5,-23,19.5,3.5,23,-19.5,19.5,North Texas,North Texas,North Texas,SMU,Prediction outside 14,Yes
54,401014977,2018,1,regular,9/1/2018,Rice,Conference USA,27,Houston,American Athletic,45,Houston -26,26,18,8,-26,-18,-8,8,Rice,Houston,Houston,Rice,Prediction within 14,Yes
65,401021656,2018,1,regular,9/1/2018,Troy,Sun Belt,20,Boise State,Mountain West,56,Boise State -9.5,9.5,36,-26.5,-9.5,-36,26.5,26.5,Boise State,Boise State,Boise State,Troy,Prediction outside 14,Yes
66,401022512,2018,1,regular,9/1/2018,Stanford,Pac-12,31,San Diego State,Mountain West,10,Stanford -14,-14,-21,7,14,21,-7,7,Stanford,Stanford,Stanford,San Diego State,Prediction within 7,Yes
69,401012246,2018,1,regular,9/2/2018,Alabama,SEC,51,Louisville,ACC,14,Alabama -24,-24,-37,13,24,37,-13,13,Alabama,Alabama,Alabama,Louisville,Prediction within 14,Yes
70,401012676,2018,1,regular,9/2/2018,Arizona,Pac-12,23,BYU,FBS Independents,28,Arizona -11,-11,5,-16,11,-5,16,16,BYU,BYU,Arizona,BYU,Prediction outside 14,No
71,401012677,2018,1,regular,9/2/2018,Arizona State,Pac-12,49,UT San Antonio,Conference USA,7,Arizona State -17.5,-17.5,-42,24.5,17.5,42,-24.5,24.5,Arizona State,Arizona State,Arizona State,UT San Antonio,Prediction outside 14,Yes
72,401012681,2018,1,regular,9/2/2018,Oregon,Pac-12,58,Bowling Green,Mid-American,24,Oregon -34,-34,-34,0,34,34,0,0,Push,Oregon,Oregon,Bowling Green,Prediction within 7,Yes
74,401013095,2018,1,regular,9/2/2018,LSU,SEC,33,Miami,ACC,17,Miami -3,3,-16,19,-3,16,-19,19,LSU,LSU,Miami,LSU,Prediction outside 14,No
75,401019475,2018,1,regular,9/2/2018,Hawai'i,Mountain West,59,Navy,American Athletic,41,Navy -13.5,13.5,-18,31.5,-13.5,18,-31.5,31.5,Hawai'i,Hawai'i,Navy,Hawai'i,Prediction outside 14,No
79,401013096,2018,1,regular,9/4/2018,Florida State,ACC,3,Virginia Tech,ACC,24,Florida State -7,-7,21,-28,7,-21,28,28,Virginia Tech,Virginia Tech,Florida State,Virginia Tech,Prediction outside 14,No
80,401012260,2018,2,regular,9/8/2018,Alabama,SEC,57,Arkansas State,Sun Belt,7,Alabama -37,-37,-50,13,37,50,-13,13,Alabama,Alabama,Alabama,Arkansas State,Prediction within 14,Yes
81,401012261,2018,2,regular,9/8/2018,Colorado State,Mountain West,34,Arkansas,SEC,27,Arkansas -14,14,-7,21,-14,7,-21,21,Colorado State,Colorado State,Arkansas,Colorado State,Prediction outside 14,No
83,401012263,2018,2,regular,9/8/2018,Florida,SEC,16,Kentucky,SEC,27,Florida -13.5,-13.5,11,-24.5,13.5,-11,24.5,24.5,Kentucky,Kentucky,Florida,Kentucky,Prediction outside 14,No
86,401012266,2018,2,regular,9/8/2018,Kansas State,Big 12,10,Mississippi State,SEC,31,Mississippi State -7,7,21,-14,-7,-21,14,14,Mississippi State,Mississippi State,Mississippi State,Kansas State,Prediction within 14,Yes
87,401012267,2018,2,regular,9/8/2018,Missouri,SEC,40,Wyoming,Mountain West,13,Missouri -19.5,-19.5,-27,7.5,19.5,27,-7.5,7.5,Missouri,Missouri,Missouri,Wyoming,Prediction within 14,Yes
88,401012268,2018,2,regular,9/8/2018,South Carolina,SEC,17,Georgia,SEC,41,Georgia -9,9,24,-15,-9,-24,15,15,Georgia,Georgia,Georgia,South Carolina,Prediction outside 14,Yes
90,401012270,2018,2,regular,9/8/2018,Texas A&M,SEC,26,Clemson,ACC,28,Clemson -12.5,12.5,2,10.5,-12.5,-2,-10.5,10.5,Texas A&M,Clemson,Clemson,Texas A&M,Prediction within 14,Yes
91,401012271,2018,2,regular,9/8/2018,Vanderbilt,SEC,41,Nevada,Mountain West,10,Vanderbilt -10,-10,-31,21,10,31,-21,21,Vanderbilt,Vanderbilt,Vanderbilt,Nevada,Prediction outside 14,Yes
92,401012726,2018,2,regular,9/8/2018,Houston,American Athletic,45,Arizona,Pac-12,18,Houston -3.5,-3.5,-27,23.5,3.5,27,-23.5,23.5,Houston,Houston,Houston,Arizona,Prediction outside 14,Yes
93,401012728,2018,2,regular,9/8/2018,Oklahoma,Big 12,49,UCLA,Pac-12,21,Oklahoma -31,-31,-28,-3,31,28,3,3,UCLA,Oklahoma,Oklahoma,UCLA,Prediction within 7,Yes
94,401012729,2018,2,regular,9/8/2018,Nebraska,Big Ten,28,Colorado,Pac-12,33,Nebraska -3.5,-3.5,5,-8.5,3.5,-5,8.5,8.5,Colorado,Colorado,Nebraska,Colorado,Prediction within 14,No
95,401012730,2018,2,regular,9/8/2018,Northern Illinois,Mid-American,6,Utah,Pac-12,17,Utah -12,12,11,1,-12,-11,-1,1,Northern Illinois,Utah,Utah,Northern Illinois,Prediction within 7,Yes
97,401012821,2018,2,regular,9/8/2018,Ohio State,Big Ten,52,Rutgers,Big Ten,3,Ohio State -35.5,-35.5,-49,13.5,35.5,49,-13.5,13.5,Ohio State,Ohio State,Ohio State,Rutgers,Prediction within 14,Yes
98,401012852,2018,2,regular,9/8/2018,Indiana,Big Ten,20,Virginia,ACC,16,Indiana -5,-5,-4,-1,5,4,1,1,Virginia,Indiana,Indiana,Virginia,Prediction within 7,Yes
99,401012863,2018,2,regular,9/8/2018,Iowa,Big Ten,13,Iowa State,Big 12,3,Iowa -3.5,-3.5,-10,6.5,3.5,10,-6.5,6.5,Iowa,Iowa,Iowa,Iowa State,Prediction within 7,Yes
100,401012873,2018,2,regular,9/8/2018,Bowling Green,Mid-American,14,Maryland,Big Ten,45,Maryland -14,14,31,-17,-14,-31,17,17,Maryland,Maryland,Maryland,Bowling Green,Prediction outside 14,Yes
101,401012889,2018,2,regular,9/8/2018,Michigan,Big Ten,49,Western Michigan,Mid-American,3,Michigan -28,-28,-46,18,28,46,-18,18,Michigan,Michigan,Michigan,Western Michigan,Prediction outside 14,Yes
102,401013027,2018,2,regular,9/8/2018,UT San Antonio,Conference USA,20,Baylor,Big 12,37,Baylor -17,17,17,0,-17,-17,0,0,Push,Baylor,Baylor,UT San Antonio,Prediction within 7,Yes
103,401013098,2018,2,regular,9/8/2018,Northwestern,Big Ten,7,Duke,ACC,21,Northwestern -2.5,-2.5,14,-16.5,2.5,-14,16.5,16.5,Duke,Duke,Northwestern,Duke,Prediction outside 14,No
105,401013100,2018,2,regular,9/8/2018,South Florida,American Athletic,49,Georgia Tech,ACC,38,Georgia Tech -3,3,-11,14,-3,11,-14,14,South Florida,South Florida,Georgia Tech,South Florida,Prediction within 14,No
107,401013103,2018,2,regular,9/8/2018,East Carolina,American Athletic,41,North Carolina,ACC,19,North Carolina -16,16,-22,38,-16,22,-38,38,East Carolina,East Carolina,North Carolina,East Carolina,Prediction outside 14,No
112,401013329,2018,2,regular,9/8/2018,Minnesota,Big Ten,21,Fresno State,Mountain West,14,Fresno State -1,1,-7,8,-1,7,-8,8,Minnesota,Minnesota,Fresno State,Minnesota,Prediction within 14,No
113,401013352,2018,2,regular,9/8/2018,Purdue,Big Ten,19,Eastern Michigan,Mid-American,20,Purdue -15.5,-15.5,1,-16.5,15.5,-1,16.5,16.5,Eastern Michigan,Eastern Michigan,Purdue,Eastern Michigan,Prediction outside 14,No
114,401013355,2018,2,regular,9/8/2018,Wisconsin,Big Ten,45,New Mexico,Mountain West,14,Wisconsin -35.5,-35.5,-31,-4.5,35.5,31,4.5,4.5,New Mexico,Wisconsin,Wisconsin,New Mexico,Prediction within 7,Yes
115,401013358,2018,2,regular,9/8/2018,Georgia Southern,Sun Belt,34,UMass,FBS Independents,13,Georgia Southern -1.5,-1.5,-21,19.5,1.5,21,-19.5,19.5,Georgia Southern,Georgia Southern,Georgia Southern,UMass,Prediction outside 14,Yes
116,401013367,2018,2,regular,9/8/2018,Army,FBS Independents,38,Liberty,FBS Independents,14,Army -7.5,-7.5,-24,16.5,7.5,24,-16.5,16.5,Army,Army,Army,Liberty,Prediction outside 14,Yes
117,401013377,2018,2,regular,9/8/2018,Notre Dame,FBS Independents,24,Ball State,Mid-American,16,Notre Dame -34.5,-34.5,-8,-26.5,34.5,8,26.5,26.5,Ball State,Notre Dame,Notre Dame,Ball State,Prediction outside 14,Yes
118,401014981,2018,2,regular,9/8/2018,Charlotte,Conference USA,9,Appalachian State,Sun Belt,45,Appalachian State -15,15,36,-21,-15,-36,21,21,Appalachian State,Appalachian State,Appalachian State,Charlotte,Prediction outside 14,Yes
119,401014982,2018,2,regular,9/8/2018,Old Dominion,Conference USA,20,Florida International,Conference USA,28,Florida International -3,3,8,-5,-3,-8,5,5,Florida International,Florida International,Florida International,Old Dominion,Prediction within 7,Yes
120,401014983,2018,2,regular,9/8/2018,Florida Atlantic,Conference USA,33,Air Force,Mountain West,26,Florida Atlantic -8,-8,-7,-1,8,7,1,1,Air Force,Florida Atlantic,Florida Atlantic,Air Force,Prediction within 7,Yes
125,401014989,2018,2,regular,9/8/2018,Southern Mississippi,Conference USA,20,Louisiana Monroe,Sun Belt,21,Southern Mississippi -5.5,-5.5,1,-6.5,5.5,-1,6.5,6.5,Louisiana Monroe,Louisiana Monroe,Southern Mississippi,Louisiana Monroe,Prediction within 7,No
126,401014990,2018,2,regular,9/8/2018,Coastal Carolina,Sun Belt,47,UAB,Conference USA,24,UAB -9,9,-23,32,-9,23,-32,32,Coastal Carolina,Coastal Carolina,UAB,Coastal Carolina,Prediction outside 14,No
128,401019477,2018,2,regular,9/8/2018,SMU,American Athletic,12,TCU,Big 12,42,TCU -23.5,23.5,30,-6.5,-23.5,-30,6.5,6.5,TCU,TCU,TCU,SMU,Prediction within 7,Yes
129,401019479,2018,2,regular,9/8/2018,Navy,American Athletic,22,Memphis,American Athletic,21,Memphis -7,7,-1,8,-7,1,-8,8,Navy,Navy,Memphis,Navy,Prediction within 14,No
134,401012727,2018,2,regular,9/9/2018,Arizona State,Pac-12,16,Michigan State,Big Ten,13,Michigan State -4.5,4.5,-3,7.5,-4.5,3,-7.5,7.5,Arizona State,Arizona State,Michigan State,Arizona State,Prediction within 14,No
136,401012735,2018,2,regular,9/9/2018,BYU,FBS Independents,18,California,Pac-12,21,BYU -2,-2,3,-5,2,-3,5,5,California,California,BYU,California,Prediction within 7,No
137,401012736,2018,2,regular,9/9/2018,Stanford,Pac-12,17,USC,Pac-12,3,Stanford -4.5,-4.5,-14,9.5,4.5,14,-9.5,9.5,Stanford,Stanford,Stanford,USC,Prediction within 14,Yes
138,401013105,2018,2,regular,9/9/2018,Pittsburgh,ACC,6,Penn State,Big Ten,51,Penn State -7.5,7.5,45,-37.5,-7.5,-45,37.5,37.5,Penn State,Penn State,Penn State,Pittsburgh,Prediction outside 14,Yes
139,401013319,2018,2,regular,9/9/2018,Texas,Big 12,28,Tulsa,American Athletic,21,Texas -22,-22,-7,-15,22,7,15,15,Tulsa,Texas,Texas,Tulsa,Prediction outside 14,Yes
140,401013490,2018,2,regular,9/9/2018,Oklahoma State,Big 12,55,South Alabama,Sun Belt,13,Oklahoma State -30.5,-30.5,-42,11.5,30.5,42,-11.5,11.5,Oklahoma State,Oklahoma State,Oklahoma State,South Alabama,Prediction within 14,Yes
141,401014988,2018,2,regular,9/9/2018,Hawai'i,Mountain West,43,Rice,Conference USA,29,Hawai'i -17.5,-17.5,-14,-3.5,17.5,14,3.5,3.5,Rice,Hawai'i,Hawai'i,Rice,Prediction within 7,Yes
142,401014991,2018,2,regular,9/9/2018,UNLV,Mountain West,52,UTEP,Conference USA,24,UNLV -23,-23,-28,5,23,28,-5,5,UNLV,UNLV,UNLV,UTEP,Prediction within 7,Yes
144,401019483,2018,2,regular,9/9/2018,Boise State,Mountain West,62,Connecticut,American Athletic,7,Boise State -33.5,-33.5,-55,21.5,33.5,55,-21.5,21.5,Boise State,Boise State,Boise State,Connecticut,Prediction outside 14,Yes
146,401013109,2018,3,regular,9/13/2018,Wake Forest,ACC,34,Boston College,ACC,41,Boston College -6,6,7,-1,-6,-7,1,1,Boston College,Boston College,Boston College,Wake Forest,Prediction within 7,Yes
147,401014993,2018,3,regular,9/13/2018,Charlotte,Conference USA,28,Old Dominion,Conference USA,25,Old Dominion -1.5,1.5,-3,4.5,-1.5,3,-4.5,4.5,Charlotte,Charlotte,Old Dominion,Charlotte,Prediction within 7,No
148,401012272,2018,3,regular,9/15/2018,Arkansas,SEC,17,North Texas,Conference USA,44,Arkansas -5.5,-5.5,27,-32.5,5.5,-27,32.5,32.5,North Texas,North Texas,Arkansas,North Texas,Prediction outside 14,No
149,401012273,2018,3,regular,9/15/2018,Auburn,SEC,21,LSU,SEC,22,Auburn -10,-10,1,-11,10,-1,11,11,LSU,LSU,Auburn,LSU,Prediction within 14,No
150,401012274,2018,3,regular,9/15/2018,Florida,SEC,48,Colorado State,Mountain West,10,Florida -21,-21,-38,17,21,38,-17,17,Florida,Florida,Florida,Colorado State,Prediction outside 14,Yes
151,401012275,2018,3,regular,9/15/2018,Georgia,SEC,49,Middle Tennessee,Conference USA,7,Georgia -34,-34,-42,8,34,42,-8,8,Georgia,Georgia,Georgia,Middle Tennessee,Prediction within 14,Yes
153,401012277,2018,3,regular,9/15/2018,Ole Miss,SEC,7,Alabama,SEC,62,Alabama -22.5,22.5,55,-32.5,-22.5,-55,32.5,32.5,Alabama,Alabama,Alabama,Ole Miss,Prediction outside 14,Yes
154,401012278,2018,3,regular,9/15/2018,Mississippi State,SEC,56,Louisiana,Sun Belt,10,Mississippi State -34,-34,-46,12,34,46,-12,12,Mississippi State,Mississippi State,Mississippi State,Louisiana,Prediction within 14,Yes
155,401012279,2018,3,regular,9/15/2018,Purdue,Big Ten,37,Missouri,SEC,40,Missouri -5.5,5.5,3,2.5,-5.5,-3,-2.5,2.5,Purdue,Missouri,Missouri,Purdue,Prediction within 7,Yes
156,401012281,2018,3,regular,9/15/2018,Tennessee,SEC,24,UTEP,Conference USA,0,Tennessee -33.5,-33.5,-24,-9.5,33.5,24,9.5,9.5,UTEP,Tennessee,Tennessee,UTEP,Prediction within 14,Yes
157,401012282,2018,3,regular,9/15/2018,Texas A&M,SEC,48,Louisiana Monroe,Sun Belt,10,Texas A&M -27.5,-27.5,-38,10.5,27.5,38,-10.5,10.5,Texas A&M,Texas A&M,Texas A&M,Louisiana Monroe,Prediction within 14,Yes
158,401012283,2018,3,regular,9/15/2018,Notre Dame,FBS Independents,22,Vanderbilt,SEC,17,Notre Dame -14,-14,-5,-9,14,5,9,9,Vanderbilt,Notre Dame,Notre Dame,Vanderbilt,Prediction within 14,Yes
160,401012744,2018,3,regular,9/15/2018,Nevada,Mountain West,37,Oregon State,Pac-12,35,Nevada -4,-4,-2,-2,4,2,2,2,Oregon State,Nevada,Nevada,Oregon State,Prediction within 7,Yes
163,401012806,2018,3,regular,9/15/2018,Illinois,Big Ten,19,South Florida,American Athletic,25,South Florida -14,14,6,8,-14,-6,-8,8,Illinois,South Florida,South Florida,Illinois,Prediction within 14,Yes
164,401012822,2018,3,regular,9/15/2018,Kansas,Big 12,55,Rutgers,Big Ten,14,Kansas -1,-1,-41,40,1,41,-40,40,Kansas,Kansas,Kansas,Rutgers,Prediction outside 14,Yes
165,401012853,2018,3,regular,9/15/2018,Indiana,Big Ten,38,Ball State,Mid-American,10,Indiana -15.5,-15.5,-28,12.5,15.5,28,-12.5,12.5,Indiana,Indiana,Indiana,Ball State,Prediction within 14,Yes
167,401012874,2018,3,regular,9/15/2018,Maryland,Big Ten,14,Temple,American Athletic,35,Maryland -16,-16,21,-37,16,-21,37,37,Temple,Temple,Maryland,Temple,Prediction outside 14,No
168,401012890,2018,3,regular,9/15/2018,Michigan,Big Ten,45,SMU,American Athletic,20,Michigan -37,-37,-25,-12,37,25,12,12,SMU,Michigan,Michigan,SMU,Prediction within 14,Yes
169,401013028,2018,3,regular,9/15/2018,Baylor,Big 12,27,Duke,ACC,40,Baylor -2.5,-2.5,13,-15.5,2.5,-13,15.5,15.5,Duke,Duke,Baylor,Duke,Prediction outside 14,No
170,401013039,2018,3,regular,9/15/2018,Iowa State,Big 12,27,Oklahoma,Big 12,37,Oklahoma -18.5,18.5,10,8.5,-18.5,-10,-8.5,8.5,Iowa State,Oklahoma,Oklahoma,Iowa State,Prediction within 14,Yes
171,401013058,2018,3,regular,9/15/2018,Kansas State,Big 12,41,UT San Antonio,Conference USA,17,Kansas State -21,-21,-24,3,21,24,-3,3,Kansas State,Kansas State,Kansas State,UT San Antonio,Prediction within 7,Yes
172,401013110,2018,3,regular,9/15/2018,Clemson,ACC,38,Georgia Southern,Sun Belt,7,Clemson -32,-32,-31,-1,32,31,1,1,Georgia Southern,Clemson,Clemson,Georgia Southern,Prediction within 7,Yes
173,401013111,2018,3,regular,9/15/2018,Syracuse,ACC,30,Florida State,ACC,7,Florida State -3.5,3.5,-23,26.5,-3.5,23,-26.5,26.5,Syracuse,Syracuse,Florida State,Syracuse,Prediction outside 14,No
174,401013112,2018,3,regular,9/15/2018,Pittsburgh,ACC,24,Georgia Tech,ACC,19,Georgia Tech -3.5,3.5,-5,8.5,-3.5,5,-8.5,8.5,Pittsburgh,Pittsburgh,Georgia Tech,Pittsburgh,Prediction within 14,No
175,401013113,2018,3,regular,9/15/2018,Louisville,ACC,20,Western Kentucky,Conference USA,17,Louisville -23.5,-23.5,-3,-20.5,23.5,3,20.5,20.5,Western Kentucky,Louisville,Louisville,Western Kentucky,Prediction outside 14,Yes
176,401013114,2018,3,regular,9/15/2018,Toledo,Mid-American,24,Miami,ACC,49,Miami -12,12,25,-13,-12,-25,13,13,Miami,Miami,Miami,Toledo,Prediction within 14,Yes
177,401013117,2018,3,regular,9/15/2018,Virginia,ACC,45,Ohio,Mid-American,31,Virginia -5,-5,-14,9,5,14,-9,9,Virginia,Virginia,Virginia,Ohio,Prediction within 14,Yes
178,401013323,2018,3,regular,9/15/2018,Texas Tech,Big 12,63,Houston,American Athletic,49,Texas Tech -1,-1,-14,13,1,14,-13,13,Texas Tech,Texas Tech,Texas Tech,Houston,Prediction within 14,Yes
179,401013330,2018,3,regular,9/15/2018,Minnesota,Big Ten,26,Miami (OH),Mid-American,3,Minnesota -13.5,-13.5,-23,9.5,13.5,23,-9.5,9.5,Minnesota,Minnesota,Minnesota,Miami (OH),Prediction within 14,Yes
180,401013337,2018,3,regular,9/15/2018,Nebraska,Big Ten,19,Troy,Sun Belt,24,Nebraska -10,-10,5,-15,10,-5,15,15,Troy,Troy,Nebraska,Troy,Prediction outside 14,No
181,401013343,2018,3,regular,9/15/2018,Northwestern,Big Ten,34,Akron,Mid-American,39,Northwestern -21,-21,5,-26,21,-5,26,26,Akron,Akron,Northwestern,Akron,Prediction outside 14,No
182,401013350,2018,3,regular,9/15/2018,Penn State,Big Ten,63,Kent State,Mid-American,10,Penn State -35.5,-35.5,-53,17.5,35.5,53,-17.5,17.5,Penn State,Penn State,Penn State,Kent State,Prediction outside 14,Yes
183,401013356,2018,3,regular,9/15/2018,Wisconsin,Big Ten,21,BYU,FBS Independents,24,Wisconsin -23.5,-23.5,3,-26.5,23.5,-3,26.5,26.5,BYU,BYU,Wisconsin,BYU,Prediction outside 14,No
184,401013359,2018,3,regular,9/15/2018,Florida International,Conference USA,63,UMass,FBS Independents,24,Florida International -3.5,-3.5,-39,35.5,3.5,39,-35.5,35.5,Florida International,Florida International,Florida International,UMass,Prediction outside 14,Yes
185,401013368,2018,3,regular,9/15/2018,Army,FBS Independents,28,Hawai'i,Mountain West,21,Army -6.5,-6.5,-7,0.5,6.5,7,-0.5,0.5,Army,Army,Army,Hawai'i,Prediction within 7,Yes
186,401013491,2018,3,regular,9/15/2018,Oklahoma State,Big 12,44,Boise State,Mountain West,21,Boise State -2,2,-23,25,-2,23,-25,25,Oklahoma State,Oklahoma State,Boise State,Oklahoma State,Prediction outside 14,No
188,401014996,2018,3,regular,9/15/2018,UAB,Conference USA,31,Tulane,American Athletic,24,Tulane -3.5,3.5,-7,10.5,-3.5,7,-10.5,10.5,UAB,UAB,Tulane,UAB,Prediction within 14,No
